TIPO DE ACIDENTE,DATA,HORA,REGIÃO,COORDENADA GEOGRÁFICA,SITUAÇÃO CLIMÁTICA/LUMINOSIDADE,CONDIÇÕES DA SUPERFÍCIE DE ROLAMENTO,POSSUI SINALIZAÇÃO HORIZONTAL,POSSUI SINALIZAÇÃO VERTICAL,PRÓXIMO A EQUIPO ELETRÔNICO,HOUVE OUTROS VEÍCULOS ENVOLVIDOS,QUANTOS VEÍCULOS,HAVIA OUTROS OCUPANTES NO VEÍCULO,QUANTOS OCUPANTES,ENVOLVIDOS,FERIDOS,ÓBITOS,FOI REALIZADO O TESTE DE BAFÔMETRO,QUAL O RESULTADO,POSSUI HABILITAÇÃO,VEÍCULO TIPO,HOUVE DANOS AO PATRIMÔNIO PÚBLICO?,HOUVE DANOS AO MEIO AMBIENTE?
Colisão,2023-09-13,05:00,Sul,"-25.475051, -49.312012",Chuva / Noite,Molhada,Não,Não,Sim,Sim,3,Não,1,2,0,0,Não,Não realizado,Não,Caminhão,Sim,Não
Colisão,2009-04-04,06:00,Leste,"-25.417665, -49.204202",Neblina / Dia,Escorregadia,Sim,Sim,Não,Sim,4,Sim,2,2,2,0,Não,Não realizado,Sim,Moto,Sim,Não
Atropelamento,2012-06-07,23:00,Norte,"-25.399479, -49.265858",Seco / Noite,Seca,Sim,Sim,Não,Sim,3,Sim,5,4,2,0,Não,Não realizado,Não,Ônibus,Sim,Não
Queda de moto,2011-04-13,05:45,Sul,"-25.452650, -49.311865",Chuva / Noite,Molhada,Sim,Sim,Sim,Sim,2,Não,1,1,1,0,Sim,Positivo,Sim,Bicicleta,Não,Não
Atropelamento,2008-02-15,04:45,Oeste,"-25.413268, -49.302948",Chuva / Noite,Molhada,Sim,Sim,Sim,Não,1,Não,1,5,0,0,Sim,Positivo,Sim,Moto,Não,Não
Atropelamento,2015-05-27,12:45,Sul,"-25.443584, -49.286657",Chuva / Dia,Seca,Sim,Sim,Sim,Sim,4,Sim,4,2,2,0,Não,Não realizado,Sim,Ônibus,Não,Não
Atropelamento,2006-09-18,15:45,Leste,"-25.421981, -49.215289",Seco / Dia,Escorregadia,Não,Sim,Não,Sim,3,Não,1,5,0,0,Não,Não realizado,Sim,Carro,Sim,Sim
Atropelamento,2014-07-13,15:15,Sul,"-25.443093, -49.282322",Chuva / Dia,Molhada,Não,Não,Não,Sim,4,Não,1,3,2,0,Não,Não realizado,Sim,Bicicleta,Não,Sim
Capotamento,2018-08-31,07:45,Sul,"-25.443094, -49.306993",Neblina / Dia,Seca,Não,Não,Sim,Sim,2,Sim,4,3,2,0,Sim,Positivo,Sim,Ônibus,Sim,Não
Colisão,2025-09-12,04:00,Centro,"-25.410987, -49.289758",Seco / Noite,Seca,Sim,Sim,Não,Sim,2,Sim,4,2,2,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Colisão,2008-12-06,15:30,Oeste,"-25.433293, -49.302567",Seco / Dia,Seca,Sim,Sim,Sim,Sim,2,Sim,3,1,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2014-02-15,05:00,Norte,"-25.397607, -49.251132",Chuva / Noite,Escorregadia,Não,Não,Sim,Sim,2,Não,1,2,1,0,Sim,Positivo,Sim,Bicicleta,Não,Não
Colisão,2018-11-20,01:00,Leste,"-25.437758, -49.247578",Chuva / Noite,Molhada,Não,Sim,Sim,Sim,4,Sim,3,1,1,0,Não,Não realizado,Sim,Moto,Sim,Não
Colisão,2018-12-13,23:30,Sul,"-25.476696, -49.298873",Seco / Noite,Molhada,Sim,Sim,Não,Sim,2,Sim,2,1,1,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Queda de moto,2009-12-04,12:00,Leste,"-25.438380, -49.207772",Seco / Dia,Seca,Não,Não,Sim,Sim,3,Sim,2,2,1,0,Sim,Positivo,Sim,Bicicleta,Não,Não
Colisão,2024-08-29,15:15,Centro,"-25.424377, -49.268714",Chuva / Dia,Molhada,Não,Não,Sim,Não,1,Não,1,1,0,0,Sim,Positivo,Sim,Caminhão,Não,Não
Queda de moto,2021-09-27,07:45,Norte,"-25.402913, -49.289652",Seco / Dia,Seca,Não,Não,Não,Sim,2,Não,1,2,1,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Atropelamento,2014-02-23,06:00,Leste,"-25.434326, -49.208510",Seco / Dia,Molhada,Não,Não,Não,Não,1,Sim,5,3,2,0,Sim,Negativo,Sim,Ônibus,Não,Não
Colisão,2008-07-23,14:15,Leste,"-25.410367, -49.226338",Seco / Dia,Seca,Sim,Sim,Não,Não,1,Sim,2,4,2,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Colisão,2008-08-21,23:15,Leste,"-25.439938, -49.242339",Seco / Noite,Seca,Não,Não,Sim,Não,1,Sim,4,1,1,0,Sim,Positivo,Sim,Carro,Não,Não
Queda de moto,2019-06-27,18:00,Sul,"-25.465979, -49.292246",Chuva / Dia,Molhada,Não,Não,Sim,Sim,4,Sim,5,4,4,0,Sim,Negativo,Sim,Bicicleta,Sim,Não
Colisão,2015-03-28,05:30,Leste,"-25.430719, -49.240599",Seco / Noite,Molhada,Não,Sim,Não,Não,1,Não,1,2,1,1,Sim,Negativo,Sim,Carro,Não,Não
Capotamento,2009-09-05,13:45,Norte,"-25.385004, -49.253530",Seco / Dia,Molhada,Sim,Não,Não,Sim,3,Sim,5,2,2,0,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2015-02-20,17:00,Centro,"-25.432321, -49.288013",Seco / Dia,Seca,Não,Não,Sim,Não,1,Não,1,3,0,0,Não,Não realizado,Sim,Ônibus,Não,Não
Atropelamento,2007-05-21,08:45,Oeste,"-25.424902, -49.307873",Seco / Dia,Escorregadia,Sim,Não,Não,Não,1,Não,1,4,3,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Colisão,2012-08-19,15:00,Leste,"-25.417189, -49.215923",Chuva / Dia,Molhada,Sim,Não,Sim,Não,1,Sim,4,2,0,0,Sim,Positivo,Sim,Moto,Sim,Não
Queda de moto,2017-03-17,02:30,Sul,"-25.446832, -49.307356",Seco / Noite,Molhada,Não,Não,Não,Sim,4,Não,1,1,1,1,Sim,Negativo,Sim,Carro,Sim,Não
Queda de moto,2010-08-09,23:15,Sul,"-25.449471, -49.291365",Chuva / Noite,Seca,Não,Sim,Sim,Sim,2,Não,1,1,1,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Colisão,2006-01-23,09:00,Norte,"-25.400051, -49.272179",Chuva / Dia,Molhada,Sim,Não,Sim,Não,1,Sim,5,2,2,0,Não,Não realizado,Não,Carro,Não,Não
Atropelamento,2011-08-22,22:00,Leste,"-25.412581, -49.235323",Seco / Noite,Molhada,Não,Sim,Sim,Sim,4,Sim,4,3,3,0,Sim,Positivo,Sim,Moto,Não,Não
Colisão,2016-09-28,21:30,Norte,"-25.393431, -49.280061",Chuva / Noite,Seca,Não,Não,Sim,Não,1,Sim,5,5,1,0,Sim,Positivo,Sim,Carro,Não,Não
Capotamento,2010-02-20,13:15,Leste,"-25.413170, -49.218888",Seco / Dia,Escorregadia,Sim,Não,Não,Sim,2,Não,1,2,1,0,Sim,Positivo,Sim,Moto,Não,Não
Colisão,2013-08-31,14:15,Oeste,"-25.413558, -49.305316",Chuva / Dia,Molhada,Sim,Não,Sim,Sim,2,Sim,2,3,3,0,Não,Não realizado,Sim,Bicicleta,Sim,Sim
Colisão,2013-01-05,11:45,Sul,"-25.441769, -49.281346",Seco / Dia,Molhada,Sim,Não,Não,Não,1,Sim,2,1,1,0,Sim,Negativo,Sim,Ônibus,Sim,Não
Atropelamento,2013-01-02,10:15,Norte,"-25.399091, -49.243187",Seco / Dia,Escorregadia,Não,Sim,Não,Não,1,Sim,4,5,0,0,Não,Não realizado,Sim,Caminhão,Sim,Sim
Queda de moto,2009-12-13,16:15,Norte,"-25.388762, -49.252795",Seco / Dia,Seca,Não,Sim,Não,Sim,2,Sim,4,3,0,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Queda de moto,2022-08-17,06:00,Oeste,"-25.425856, -49.337520",Chuva / Dia,Molhada,Não,Não,Sim,Não,1,Sim,5,1,1,0,Não,Não realizado,Sim,Caminhão,Não,Não
Atropelamento,2015-02-19,23:00,Leste,"-25.415713, -49.203887",Seco / Noite,Molhada,Não,Sim,Não,Não,1,Não,1,3,3,3,Sim,Negativo,Sim,Carro,Não,Não
Colisão,2024-11-28,09:15,Leste,"-25.438854, -49.238075",Chuva / Dia,Escorregadia,Sim,Sim,Não,Sim,3,Não,1,1,1,0,Não,Não realizado,Sim,Caminhão,Não,Não
Atropelamento,2014-05-18,21:45,Oeste,"-25.425796, -49.339668",Chuva / Noite,Seca,Sim,Não,Não,Sim,3,Sim,3,4,0,0,Sim,Positivo,Sim,Bicicleta,Sim,Não
Colisão,2007-07-16,05:00,Norte,"-25.380828, -49.244123",Seco / Noite,Seca,Sim,Não,Não,Sim,2,Não,1,3,1,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Colisão,2017-05-19,12:45,Norte,"-25.403362, -49.281259",Seco / Dia,Escorregadia,Sim,Não,Sim,Sim,4,Não,1,1,1,0,Não,Não realizado,Sim,Moto,Não,Não
Capotamento,2018-10-17,21:30,Oeste,"-25.416748, -49.325726",Seco / Noite,Molhada,Sim,Não,Não,Não,1,Não,1,2,0,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2012-06-30,15:45,Norte,"-25.398443, -49.247159",Seco / Dia,Seca,Não,Não,Sim,Sim,4,Não,1,4,1,0,Não,Não realizado,Não,Carro,Sim,Sim
Colisão,2019-05-12,09:15,Norte,"-25.380350, -49.285586",Seco / Dia,Escorregadia,Não,Não,Sim,Sim,3,Sim,4,2,1,0,Sim,Negativo,Sim,Carro,Sim,Não
Colisão,2021-08-13,06:15,Sul,"-25.474438, -49.280166",Seco / Dia,Escorregadia,Não,Não,Sim,Sim,3,Sim,2,2,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Capotamento,2025-02-23,06:15,Centro,"-25.414801, -49.279564",Chuva / Dia,Escorregadia,Sim,Não,Não,Não,1,Não,1,2,1,0,Sim,Negativo,Sim,Carro,Não,Sim
Colisão,2023-08-28,10:45,Sul,"-25.442130, -49.318836",Seco / Dia,Molhada,Sim,Não,Sim,Sim,2,Não,1,1,1,0,Não,Não realizado,Sim,Moto,Sim,Não
Atropelamento,2017-03-24,11:15,Norte,"-25.390305, -49.281052",Chuva / Dia,Molhada,Não,Sim,Sim,Sim,2,Não,1,2,1,0,Sim,Positivo,Não,Carro,Não,Não
Colisão,2007-01-04,18:15,Leste,"-25.438305, -49.210598",Seco / Dia,Escorregadia,Sim,Sim,Sim,Não,1,Sim,4,2,1,0,Não,Não realizado,Sim,Moto,Sim,Não
Colisão,2007-01-21,10:00,Oeste,"-25.410393, -49.328200",Chuva / Dia,Molhada,Sim,Sim,Não,Não,1,Sim,3,3,2,0,Sim,Positivo,Sim,Caminhão,Não,Não
Atropelamento,2018-07-05,11:15,Leste,"-25.418492, -49.205798",Chuva / Dia,Molhada,Não,Sim,Não,Sim,2,Não,1,4,0,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2014-09-04,21:45,Centro,"-25.438101, -49.276724",Seco / Noite,Escorregadia,Não,Não,Sim,Sim,3,Não,1,1,0,0,Sim,Positivo,Sim,Moto,Sim,Não
Queda de moto,2023-08-20,04:15,Leste,"-25.412232, -49.236566",Chuva / Noite,Escorregadia,Sim,Sim,Não,Sim,3,Não,1,1,1,0,Sim,Positivo,Sim,Carro,Não,Não
Colisão,2022-01-12,00:30,Oeste,"-25.421906, -49.305434",Chuva / Noite,Seca,Não,Não,Não,Não,1,Não,1,1,0,0,Sim,Negativo,Sim,Bicicleta,Sim,Não
Queda de moto,2016-08-11,05:45,Oeste,"-25.421457, -49.324862",Chuva / Noite,Molhada,Sim,Não,Não,Não,1,Sim,2,2,0,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Capotamento,2018-11-06,09:15,Norte,"-25.393695, -49.255649",Seco / Dia,Escorregadia,Não,Sim,Sim,Não,1,Não,1,1,1,0,Sim,Positivo,Sim,Bicicleta,Sim,Não
Colisão,2024-01-16,18:45,Centro,"-25.428501, -49.266004",Seco / Dia,Molhada,Não,Sim,Sim,Não,1,Não,1,4,0,0,Não,Não realizado,Sim,Moto,Sim,Não
Queda de moto,2015-07-14,16:15,Centro,"-25.436778, -49.283893",Seco / Dia,Escorregadia,Não,Sim,Sim,Não,1,Sim,2,2,2,0,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2020-03-16,03:30,Leste,"-25.421018, -49.216304",Seco / Noite,Seca,Não,Sim,Não,Não,1,Não,1,1,1,0,Não,Não realizado,Não,Caminhão,Sim,Não
Colisão,2025-05-30,19:15,Oeste,"-25.423726, -49.311821",Seco / Noite,Molhada,Sim,Sim,Sim,Sim,4,Sim,4,1,1,0,Não,Não realizado,Sim,Caminhão,Não,Não
Atropelamento,2008-02-21,11:15,Norte,"-25.402286, -49.247643",Chuva / Dia,Molhada,Não,Não,Não,Não,1,Sim,4,5,4,0,Não,Não realizado,Não,Bicicleta,Não,Não
Colisão,2024-06-16,19:45,Leste,"-25.432523, -49.202429",Neblina / Noite,Escorregadia,Não,Sim,Não,Sim,4,Sim,2,2,0,0,Não,Não realizado,Sim,Moto,Sim,Não
Atropelamento,2007-07-28,10:00,Sul,"-25.440935, -49.296221",Chuva / Dia,Escorregadia,Não,Sim,Sim,Sim,3,Sim,4,5,2,0,Não,Não realizado,Sim,Moto,Não,Não
Atropelamento,2010-04-24,12:15,Sul,"-25.468576, -49.281994",Neblina / Dia,Escorregadia,Não,Não,Sim,Sim,2,Não,1,5,3,0,Sim,Positivo,Sim,Caminhão,Sim,Não
Colisão,2011-07-17,14:00,Norte,"-25.381868, -49.248370",Seco / Dia,Escorregadia,Sim,Sim,Não,Sim,4,Sim,3,2,1,0,Sim,Positivo,Sim,Caminhão,Não,Não
Atropelamento,2013-09-07,22:15,Leste,"-25.431073, -49.216565",Seco / Noite,Escorregadia,Não,Não,Sim,Sim,4,Sim,2,2,2,0,Sim,Negativo,Sim,Ônibus,Sim,Não
Capotamento,2013-03-09,17:00,Leste,"-25.435277, -49.229247",Seco / Dia,Escorregadia,Sim,Não,Não,Sim,2,Não,1,2,0,0,Não,Não realizado,Sim,Carro,Não,Não
Colisão,2019-09-19,17:15,Sul,"-25.463489, -49.298067",Seco / Dia,Seca,Não,Sim,Sim,Sim,4,Não,1,3,0,0,Sim,Positivo,Sim,Moto,Sim,Não
Colisão,2020-10-25,18:45,Centro,"-25.415107, -49.272063",Seco / Dia,Escorregadia,Não,Sim,Sim,Não,1,Sim,5,4,4,0,Sim,Positivo,Não,Ônibus,Sim,Não
Capotamento,2009-06-16,00:00,Oeste,"-25.430186, -49.311749",Neblina / Noite,Molhada,Sim,Não,Não,Não,1,Sim,4,3,0,0,Sim,Positivo,Sim,Bicicleta,Não,Não
Queda de moto,2011-08-13,21:15,Centro,"-25.436832, -49.272403",Seco / Noite,Molhada,Não,Não,Não,Sim,4,Sim,3,3,1,0,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2005-03-08,11:15,Oeste,"-25.433085, -49.318035",Seco / Dia,Escorregadia,Não,Sim,Sim,Sim,3,Sim,2,1,0,0,Não,Não realizado,Sim,Ônibus,Sim,Sim
Colisão,2016-07-11,23:15,Centro,"-25.432616, -49.281467",Seco / Noite,Molhada,Não,Sim,Sim,Sim,4,Não,1,1,1,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Colisão,2005-07-27,10:00,Centro,"-25.439197, -49.284188",Chuva / Dia,Seca,Sim,Não,Não,Não,1,Sim,5,1,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Capotamento,2005-11-29,22:30,Oeste,"-25.423975, -49.321273",Seco / Noite,Escorregadia,Não,Não,Não,Não,1,Sim,2,2,0,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Colisão,2015-06-04,17:30,Sul,"-25.475305, -49.284565",Seco / Dia,Seca,Não,Não,Não,Sim,4,Sim,4,3,0,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Colisão,2021-02-27,02:30,Norte,"-25.384340, -49.269424",Seco / Noite,Escorregadia,Sim,Não,Não,Sim,4,Não,1,1,0,0,Não,Não realizado,Não,Carro,Sim,Não
Atropelamento,2015-12-05,07:45,Leste,"-25.432685, -49.244862",Seco / Dia,Escorregadia,Sim,Sim,Não,Sim,3,Não,1,2,0,0,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2007-04-06,07:15,Centro,"-25.416638, -49.267090",Chuva / Dia,Seca,Sim,Não,Não,Não,1,Não,1,2,2,0,Sim,Negativo,Sim,Caminhão,Sim,Não
Atropelamento,2007-09-29,22:00,Centro,"-25.427810, -49.264129",Neblina / Noite,Molhada,Não,Não,Não,Não,1,Não,1,5,5,0,Não,Não realizado,Sim,Ônibus,Sim,Sim
Queda de moto,2009-10-15,00:15,Centro,"-25.412689, -49.263239",Seco / Noite,Escorregadia,Sim,Sim,Sim,Sim,3,Sim,2,3,2,0,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2011-10-21,02:30,Sul,"-25.451768, -49.280170",Chuva / Noite,Molhada,Sim,Sim,Não,Sim,4,Não,1,1,1,0,Não,Não realizado,Sim,Carro,Sim,Não
Colisão,2023-03-24,07:30,Centro,"-25.410106, -49.264154",Seco / Dia,Seca,Não,Não,Sim,Sim,4,Não,1,2,0,0,Sim,Negativo,Sim,Carro,Sim,Não
Queda de moto,2017-04-04,13:45,Leste,"-25.437782, -49.235796",Chuva / Dia,Escorregadia,Sim,Sim,Não,Sim,2,Não,1,1,0,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Queda de moto,2014-02-13,22:15,Norte,"-25.399010, -49.266588",Chuva / Noite,Seca,Não,Sim,Não,Sim,3,Não,1,1,1,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Capotamento,2023-12-27,21:15,Centro,"-25.415332, -49.274898",Neblina / Noite,Escorregadia,Sim,Não,Sim,Não,1,Sim,4,1,1,0,Sim,Positivo,Sim,Moto,Sim,Não
Colisão,2007-06-09,12:30,Norte,"-25.384534, -49.273724",Seco / Dia,Molhada,Não,Não,Sim,Não,1,Não,1,1,1,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Colisão,2014-02-15,06:45,Sul,"-25.473744, -49.318612",Seco / Dia,Seca,Sim,Não,Não,Sim,4,Sim,4,2,1,0,Não,Não realizado,Sim,Moto,Sim,Não
Atropelamento,2015-10-02,11:45,Leste,"-25.418792, -49.246985",Seco / Dia,Escorregadia,Sim,Sim,Sim,Sim,4,Sim,4,2,1,0,Não,Não realizado,Sim,Carro,Não,Não
Queda de moto,2015-10-27,17:15,Centro,"-25.424566, -49.267370",Chuva / Dia,Escorregadia,Sim,Não,Sim,Sim,3,Sim,3,2,2,0,Sim,Negativo,Sim,Ônibus,Não,Não
Colisão,2006-04-24,16:15,Centro,"-25.436711, -49.275082",Seco / Dia,Molhada,Não,Sim,Não,Não,1,Sim,4,2,1,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Colisão,2022-04-03,09:00,Sul,"-25.471350, -49.308692",Seco / Dia,Molhada,Não,Não,Sim,Não,1,Não,1,2,1,0,Não,Não realizado,Sim,Carro,Não,Não
Atropelamento,2016-04-29,09:30,Norte,"-25.391342, -49.252467",Seco / Dia,Escorregadia,Não,Sim,Sim,Sim,2,Não,1,4,1,0,Sim,Negativo,Sim,Ônibus,Sim,Não
Atropelamento,2020-10-30,17:00,Leste,"-25.433417, -49.216517",Seco / Dia,Molhada,Sim,Sim,Não,Sim,3,Sim,4,4,0,0,Sim,Negativo,Sim,Caminhão,Não,Não
Queda de moto,2011-06-04,13:30,Centro,"-25.415880, -49.262163",Seco / Dia,Molhada,Sim,Sim,Não,Não,1,Não,1,4,1,0,Não,Não realizado,Sim,Moto,Não,Não
Atropelamento,2018-03-08,23:45,Oeste,"-25.424522, -49.300751",Seco / Noite,Molhada,Não,Não,Não,Sim,3,Não,1,5,5,0,Não,Não realizado,Sim,Bicicleta,Não,Sim
Colisão,2009-07-02,12:15,Norte,"-25.400271, -49.249683",Seco / Dia,Seca,Sim,Não,Sim,Sim,3,Sim,3,2,2,0,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2024-02-09,23:00,Centro,"-25.435621, -49.266795",Seco / Noite,Seca,Não,Sim,Não,Sim,4,Sim,3,1,0,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Capotamento,2016-05-26,22:15,Leste,"-25.418177, -49.234838",Chuva / Noite,Molhada,Sim,Não,Não,Não,1,Sim,5,1,1,0,Não,Não realizado,Não,Ônibus,Não,Não
Colisão,2018-11-18,01:15,Norte,"-25.396150, -49.286466",Seco / Noite,Molhada,Não,Sim,Não,Sim,3,Sim,3,2,0,0,Sim,Negativo,Sim,Ônibus,Não,Não
Queda de moto,2009-01-28,03:00,Norte,"-25.390337, -49.285238",Seco / Noite,Seca,Não,Sim,Não,Sim,2,Sim,4,2,2,0,Sim,Positivo,Sim,Bicicleta,Não,Não
Colisão,2024-12-29,00:15,Oeste,"-25.428443, -49.318765",Seco / Noite,Escorregadia,Sim,Sim,Não,Sim,2,Sim,2,3,1,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Colisão,2021-09-09,09:15,Norte,"-25.406669, -49.282155",Chuva / Dia,Escorregadia,Sim,Não,Não,Sim,4,Não,1,1,1,0,Não,Não realizado,Não,Ônibus,Não,Sim
Colisão,2008-07-10,09:45,Sul,"-25.466135, -49.301413",Chuva / Dia,Seca,Não,Sim,Não,Sim,3,Não,1,1,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Atropelamento,2018-02-13,08:15,Oeste,"-25.430310, -49.301140",Seco / Dia,Seca,Sim,Sim,Sim,Não,1,Sim,3,4,4,0,Sim,Negativo,Sim,Bicicleta,Não,Não
Atropelamento,2008-03-17,20:15,Centro,"-25.414318, -49.277345",Chuva / Noite,Molhada,Não,Não,Não,Não,1,Sim,3,2,2,0,Não,Não realizado,Não,Bicicleta,Não,Não
Atropelamento,2007-10-17,00:00,Centro,"-25.421016, -49.286155",Chuva / Noite,Escorregadia,Sim,Sim,Sim,Sim,2,Não,1,2,1,0,Não,Não realizado,Sim,Carro,Sim,Não
Colisão,2020-06-28,22:00,Leste,"-25.430295, -49.205803",Chuva / Noite,Escorregadia,Sim,Não,Sim,Sim,4,Não,1,2,2,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2008-04-24,00:15,Leste,"-25.439232, -49.226674",Neblina / Noite,Seca,Não,Sim,Não,Não,1,Sim,5,1,1,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Queda de moto,2013-06-05,12:45,Norte,"-25.408866, -49.245484",Chuva / Dia,Escorregadia,Não,Sim,Sim,Não,1,Sim,3,1,1,0,Não,Não realizado,Sim,Moto,Sim,Não
Queda de moto,2022-01-13,02:15,Norte,"-25.391695, -49.278161",Chuva / Noite,Molhada,Sim,Sim,Não,Sim,2,Sim,4,2,0,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2020-07-18,03:00,Leste,"-25.416482, -49.227344",Seco / Noite,Molhada,Sim,Sim,Não,Não,1,Não,1,1,1,0,Não,Não realizado,Sim,Moto,Sim,Não
Atropelamento,2023-09-22,04:30,Leste,"-25.431449, -49.227341",Seco / Noite,Molhada,Não,Sim,Sim,Não,1,Não,1,2,2,0,Sim,Positivo,Sim,Carro,Não,Não
Colisão,2017-02-07,02:45,Oeste,"-25.417715, -49.302138",Seco / Noite,Escorregadia,Sim,Não,Não,Não,1,Não,1,2,2,0,Não,Não realizado,Sim,Moto,Não,Não
Colisão,2013-04-29,10:30,Oeste,"-25.427337, -49.329285",Seco / Dia,Escorregadia,Não,Sim,Não,Não,1,Sim,4,2,0,0,Sim,Positivo,Sim,Moto,Não,Não
Colisão,2016-12-09,16:30,Oeste,"-25.439371, -49.311698",Seco / Dia,Escorregadia,Sim,Sim,Sim,Sim,3,Não,1,1,1,0,Não,Não realizado,Sim,Carro,Sim,Sim
Queda de moto,2025-11-11,05:00,Oeste,"-25.427511, -49.335964",Chuva / Noite,Escorregadia,Não,Sim,Sim,Não,1,Não,1,2,2,0,Sim,Positivo,Sim,Moto,Não,Não
Colisão,2018-12-05,02:15,Leste,"-25.411451, -49.206954",Seco / Noite,Seca,Não,Sim,Sim,Sim,2,Não,1,2,2,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2006-08-12,20:45,Oeste,"-25.414038, -49.307704",Chuva / Noite,Molhada,Sim,Não,Sim,Não,1,Não,1,2,1,0,Não,Não realizado,Sim,Carro,Não,Não
Colisão,2005-04-06,02:00,Leste,"-25.428113, -49.203221",Seco / Noite,Molhada,Sim,Não,Sim,Sim,2,Não,1,2,2,0,Não,Não realizado,Não,Moto,Sim,Sim
Colisão,2016-08-12,14:30,Norte,"-25.390242, -49.245791",Chuva / Dia,Escorregadia,Sim,Não,Sim,Não,1,Sim,3,1,0,0,Não,Não realizado,Sim,Carro,Sim,Sim
Colisão,2025-07-25,09:45,Norte,"-25.380498, -49.258488",Seco / Dia,Molhada,Não,Não,Sim,Não,1,Não,1,1,1,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Queda de moto,2014-08-08,15:30,Centro,"-25.412931, -49.267986",Seco / Dia,Molhada,Sim,Sim,Não,Sim,4,Sim,3,3,1,0,Sim,Negativo,Sim,Ônibus,Não,Não
Capotamento,2013-05-02,12:15,Norte,"-25.382700, -49.251004",Seco / Dia,Molhada,Não,Não,Sim,Não,1,Sim,5,1,1,0,Sim,Negativo,Não,Bicicleta,Não,Não
Colisão,2019-08-05,18:00,Centro,"-25.437718, -49.276038",Chuva / Dia,Seca,Não,Sim,Sim,Sim,2,Não,1,3,1,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2023-10-18,14:15,Oeste,"-25.414609, -49.310112",Seco / Dia,Seca,Não,Sim,Sim,Não,1,Sim,2,1,0,0,Não,Não realizado,Sim,Carro,Não,Não
Atropelamento,2022-05-07,06:15,Centro,"-25.435393, -49.263505",Seco / Dia,Molhada,Não,Sim,Não,Não,1,Não,1,3,3,0,Não,Não realizado,Sim,Caminhão,Não,Não
Queda de moto,2012-12-20,03:15,Oeste,"-25.414162, -49.302067",Seco / Noite,Molhada,Não,Não,Sim,Sim,2,Sim,2,2,1,0,Não,Não realizado,Sim,Caminhão,Não,Não
Capotamento,2024-04-07,05:45,Centro,"-25.432329, -49.279462",Seco / Noite,Seca,Não,Não,Sim,Não,1,Não,1,1,0,0,Sim,Positivo,Sim,Carro,Não,Não
Capotamento,2017-01-04,03:00,Norte,"-25.395476, -49.246347",Seco / Noite,Molhada,Sim,Não,Sim,Não,1,Sim,5,3,3,0,Sim,Negativo,Sim,Bicicleta,Sim,Não
Capotamento,2016-12-16,04:00,Leste,"-25.413352, -49.201427",Seco / Noite,Seca,Sim,Não,Sim,Sim,3,Não,1,5,2,0,Não,Não realizado,Sim,Carro,Sim,Não
Capotamento,2015-06-13,03:00,Leste,"-25.419016, -49.203873",Chuva / Noite,Molhada,Não,Não,Sim,Sim,4,Não,1,1,1,0,Sim,Negativo,Sim,Ônibus,Sim,Não
Capotamento,2025-06-28,09:15,Oeste,"-25.433508, -49.315107",Seco / Dia,Molhada,Não,Não,Não,Não,1,Sim,5,5,0,0,Sim,Positivo,Não,Carro,Sim,Não
Queda de moto,2009-03-27,06:00,Leste,"-25.410341, -49.212645",Chuva / Dia,Molhada,Não,Não,Sim,Não,1,Sim,4,3,3,0,Não,Não realizado,Sim,Ônibus,Sim,Não
